ID,Feature,BulbPercent,Length,Width,Thickness,Weight,Ratio,NumLeaves,MedianDate,DateRange,Group
140.o11.1,O-11,80%,15.89,13.11,10.14,0.604,0.731592196,4,193,a.0-499,selective_harvesting
137.h55.23,H-55,90%,11.96,9.97,6.2,0.247,0.676003344,4,277,a.0-499,selective_harvesting
137.m1.26,M-1,75%,15.77,8.31,6.7,0.219,0.475903614,3,412,a.0-499,selective_harvesting
137.m1.27,M-1,100%,16.98,11.4,9.89,0.439,0.626914016,3.5,412,a.0-499,selective_harvesting
137.m1.29,M-1,90%,11.4,8.52,6.59,0.244,0.662719298,3,412,a.0-499,selective_harvesting
137.o25.82,O-25,80%,14.13,11.46,10.04,0.345,0.76079264,5,594,b.500-999,selective_harvesting
137.o25.83,O-25,90%,15.52,7.26,3.97,0.103,0.361791237,2,594,b.500-999,selective_harvesting
137.o25.87,O-25,100%,19.89,12.08,6.74,0.347,0.473102061,4,594,b.500-999,selective_harvesting
137.o25.90,O-25,90%,18.49,9.68,6.66,0.276,0.441860465,4,594,b.500-999,selective_harvesting
137.o25.92,O-25,50%,10.07,10.71,6.88,0.181,0.873386296,3,594,b.500-999,selective_harvesting
137.o25.94,O-25,70%,13.04,9.45,10.9,0.236,0.780291411,4,594,b.500-999,selective_harvesting
137.o25.96,O-25,90%,15.32,10.4,8.5,0.485,0.616840731,4,594,b.500-999,selective_harvesting
137.o25.97,O-25,90%,20.47,11.52,12.16,0.572,0.578407426,5,594,b.500-999,selective_harvesting
435.h3c1.2,H3-C1/1,90%,9.91,6.98,4.76,0.102,0.592330979,3,649,b.500-999,selective_harvesting
435.h3c1.3,H3-C1/1,40%,14.62,10.62,5.46,0.099,0.549931601,4,649,b.500-999,selective_harvesting
435.b.4,B-5_bot3,90%,10.35,10.89,8.8,0.19,0.951207729,4,649,b.500-999,selective_harvesting
435.f1c1.1,F1-C1,90%,7.64,3.99,4.1,0.03,0.529450262,3,649,b.500-999,selective_harvesting
137.m3.34,M-3,90%,9.28,8.21,6.33,0.285,0.783405172,4,740,b.500-999,selective_harvesting
137.m3.36,M-3,90%,13.36,10.43,7.94,0.409,0.6875,3,740,b.500-999,selective_harvesting
137.m3.37,M-3,90%,14.53,10.71,8.15,0.444,0.649002065,4,740,b.500-999,selective_harvesting
137.m3.38,M-3,90%,16.78,7.81,6.59,0.185,0.429082241,2,740,b.500-999,selective_harvesting
137.m3.40,M-3,95%,13.65,6.68,5.87,0.169,0.45970696,2,740,b.500-999,selective_harvesting
137.m3.47,M-3,95%,17.91,8.29,4.48,0.21,0.356504746,3,740,b.500-999,selective_harvesting
137.m3.50,M-3,75%,14.15,8.07,9.03,0.161,0.604240283,3,740,b.500-999,selective_harvesting
137.m3.54,M-3,90%,11.5,9.41,6.9,0.254,0.709130435,3,740,b.500-999,selective_harvesting
139.o6.1.258,O-6.1,100%,11.56,8.14,7.97,0.257,0.696799308,4,877,b.500-999,selective_harvesting
139.o6.1.259,O-6.1,80-85%,12.75,12.66,14.11,0.434,1.049803922,5,877,b.500-999,selective_harvesting
139.o6.1.261,O-6.1,100%,17.5,12.59,3.65,0.262,0.464,4,877,b.500-999,selective_harvesting
139.o6.1.262,O-6.1,95%,10.1,6.34,7.44,0.137,0.682178218,3,877,b.500-999,selective_harvesting
139.o6.1.263,O-6.1,100%,9.72,4.92,6.92,0.153,0.609053498,3,877,b.500-999,selective_harvesting
139.o6.1.264,O-6.1,75%,17.58,11.73,17.03,0.908,0.817974972,4,877,b.500-999,selective_harvesting
144.o11.18,O-11,85%,21.61,10.86,9.77,0.499,0.477325312,4,904,b.500-999,selective_harvesting
144.o11.19,O-11,85%,20.84,,,0.871,,4,904,b.500-999,selective_harvesting
137.m3.1.56,M-3.1,85%,14.95,5.58,5.34,0.072,0.365217391,2,911,b.500-999,selective_harvesting
137.m3.1.58,M-3.1,90%,15.19,11.02,7.6,0.314,0.612903226,4,911,b.500-999,selective_harvesting
137.m3.1.62,M-3.1,90%,16.13,9.11,0.703,0.24,0.304184749,2,911,b.500-999,selective_harvesting
141.o9.61,O-9,95%,15.11,12.64,9.12,0.385,0.720052945,4.5,924,b.500-999,selective_harvesting
141.o9.63,O-9,85%,12.88,8.91,6.72,0.181,0.606754658,3,924,b.500-999,selective_harvesting
141.o9.68,O-9,90%,10.07,5.94,5.16,0.102,0.551142006,2,924,b.500-999,selective_harvesting
139.4.9.36,O-4.9,95%,15.01,9.18,14.12,0.544,0.776149234,4.5,946,b.500-999,selective_harvesting
139.4.9.38,O-4.9,90%,17.22,12.11,13.99,0.579,0.757839721,5,946,b.500-999,selective_harvesting
139.4.9.41,O-4.9,80%,,,,0.825,,4.5,946,b.500-999,selective_harvesting
139.4.21.29,O-4.21,100%,11.9,5.12,4.72,0.092,0.413445378,3,1032,c.1000-1499,stripping
139.p8.1.206,P-8.1,70%,9.28,7.32,5.79,0.116,0.706357759,2.5,1226,c.1000-1499,stripping
141.o8.31,O-8,85%,16.98,6.71,4.43,0.164,0.32803298,2,1366,c.1000-1499,stripping
141.o8.33,O-8,100%,10.55,4.62,4.79,0.035,0.445971564,1,1366,c.1000-1499,stripping
141.o8.34,O-8,90%,10.47,5.54,4.95,0.091,0.50095511,3,1366,c.1000-1499,stripping
141.o8.37,O-8,85%,10.12,5.85,4.93,0.071,0.532608696,2,1366,c.1000-1499,stripping
141.o8.50,O-8,100%,12.87,10.85,7.33,0.389,0.706293706,3,1366,c.1000-1499,stripping
141.o8.51,O-8,90%,23.66,6.97,6.53,0.315,0.285291631,2,1366,c.1000-1499,stripping
139.8.3.207,O-8.3,100%,13.44,4.92,8.54,0.154,0.500744048,3,1402,c.1000-1499,stripping
139.5.62.132,O-5.62,90%,21.43,13.75,7.48,0.537,0.495333644,4,1479,c.1000-1499,stripping
139.5.62.135,O-5.62,90%,11.87,7.4,6.81,0.225,0.598567818,2,1479,c.1000-1499,stripping
139.5.62.137,O-5.62,95%,17,10.58,8.7,0.395,0.567058824,3,1479,c.1000-1499,stripping
139.5.62.147,O-5.62,90%,11.67,11.26,9.05,0.415,0.870179949,4,1479,c.1000-1499,stripping
139.1.1.4,1.1,90%,7.7,6.82,5.96,0.153,0.82987013,3,1766,d.1500-1999,selective_harvesting
139.1.1.7,1.1,85%,8.06,8.71,7.82,0.178,1.025434243,4,1766,d.1500-1999,selective_harvesting
139.1.1.9,1.1,90%,17.96,9.75,10.19,0.46,0.555122494,4.5,1766,d.1500-1999,selective_harvesting
139.1.1.11,1.1,90%,10.03,6.53,7.09,0.156,0.678963111,3,1766,d.1500-1999,selective_harvesting
139.1.1.12,1.1,85%,13.35,5.69,6.31,0.123,0.449438202,3,1766,d.1500-1999,selective_harvesting
139.1.1.14,1.1,95%,10.58,5.8,6.09,0.116,0.561909263,3,1766,d.1500-1999,selective_harvesting
139.1.1.19,1.1,90%,11.81,8.66,1.05,0.514,0.411092295,4.5,1766,d.1500-1999,selective_harvesting
139.1.1.23,1.1,85%,19.43,7.2,6.16,0.278,0.34379825,3,1766,d.1500-1999,selective_harvesting
140.o15.1.8,O-15.1,90%,15.53,13.36,9.63,0.516,0.740180296,3,2098,e.2000-2499,stripping
140.o15.1.9,O-15.1,95%,12.96,11.7,7.29,0.389,0.732638889,3,2098,e.2000-2499,stripping
140.o15.1.11,O-15.1,95%,11.13,8.6,6.99,0.231,0.700359389,2,2098,e.2000-2499,stripping
140.o15.1.17,O-15.1,80%,16.56,8.8,5.4,0.158,0.428743961,2,2098,e.2000-2499,stripping
140.o15.1.19,O-15.1,85%,13.27,8.37,6.2,0.137,0.548982668,2,2098,e.2000-2499,stripping
139.p4.1.26,P-4.1,70%,19.1,14.03,13.08,0.631,0.709685864,4,2134,e.2000-2499,stripping
140.o7.40,O-7,50%,11.18,8.08,,0.133,0.361359571,3,2475,e.2000-2499,stripping
141.o16.14,O-16,80%,13.98,11.01,7.02,0.34,0.644849785,4,2756,e.2000-2499,stripping
141.o3.83,O-3,85%,15.33,11.86,11.01,0.611,0.745923027,4,2847,f.2500-2999,selective_harvesting
141.o17.17,O-17,85%,11.7,8.83,7.34,0.166,0.691025641,3,3010,g.3000-3499,selective_harvesting
141.o17.18,O-17,85%,14.04,7.72,7.09,0.159,0.527421652,3,3010,g.3000-3499,selective_harvesting
141.o17.20,O-17,80%,16.9,14.35,13.61,0.811,0.827218935,4,3010,g.3000-3499,selective_harvesting
141.o17.23,O-17,85%,16.76,9.33,7.35,0.301,0.497613365,3,3010,g.3000-3499,selective_harvesting
144.o14.21,O-14,80%,13.63,13.43,5.03,0.35,0.677182685,3,3224,g.3000-3499,selective_harvesting
144.o14.22,O-14,,,,,0.363,,3,3224,g.3000-3499,selective_harvesting
144.o14.24,O-14,90%,11.62,11.21,7.91,0.343,0.822719449,4,3224,g.3000-3499,selective_harvesting
144.o14.25,O-14,95%,12.31,7.78,10.15,0.443,0.728269699,4,3224,g.3000-3499,selective_harvesting
144.o14.26,O-14,75%,12.92,8.46,,0.128,,3,3224,g.3000-3499,selective_harvesting
144.o14.28,O-14,95%,13.45,11.03,10.51,0.252,0.800743494,4,3224,g.3000-3499,selective_harvesting
144.o14.31,O-14,95%,8.85,6.5,5.73,0.07,0.690960452,2,3224,g.3000-3499,selective_harvesting
144.o14.32,O-14,80%,15.22,6.75,7.51,0.182,0.468462549,2,3224,g.3000-3499,selective_harvesting
144.o14.33,O-14,50%,9.14,9.85,,0.118,,3,3224,g.3000-3499,selective_harvesting
139.o5.41.63,O-5.41,95%,11.58,5.89,8.61,0.257,0.626079447,4.5,3244,g.3000-3499,selective_harvesting
139.o5.41.66,O-5.41,85%,13.31,14.26,11.96,0.481,0.984973704,5,3244,g.3000-3499,selective_harvesting
139.o5.41.67,O-5.41,80%,11.64,7.95,7.29,0.137,0.654639175,4,3244,g.3000-3499,selective_harvesting
139.p7.9.195,P-7.9,90%,11.88,10.44,8.94,0.262,0.815656566,3,3612,h.3500-3999,stripping
139.p7.9.196,P-7.9,95%,15.6,7.82,7.99,0.183,0.506730769,2,3612,h.3500-3999,stripping
139.p7.9.197,P-7.9,95%,15.03,7.98,10.73,0.294,0.622421823,4,3612,h.3500-3999,stripping
139.p7.9.198,P-7.9,95%,10.58,8.25,6.15,0.129,0.680529301,3,3612,h.3500-3999,stripping
139.p7.9.199,P-7.9,95%,12.11,7.38,7.73,0.15,0.623864575,3.5,3612,h.3500-3999,stripping
139.p7.9.200,P-7.9,85%,13.27,7.43,7.37,0.148,0.557648832,3,3612,h.3500-3999,stripping
139.p7.9.202,P-7.9,80%,11.33,9.38,7.68,0.188,0.752868491,4,3612,h.3500-3999,stripping
139.p7.9.203,P-7.9,80%,11.94,8.74,7.33,0.133,0.672948074,2,3612,h.3500-3999,stripping
139.p7.9.204,P-7.9,95%,9.08,13.11,12.73,0.603,1.422907489,3,3612,h.3500-3999,stripping
141.o14.3,O-14.1,80%,14.37,8.2,7.08,0.2,0.531663187,4.5,3683,h.3500-3999,stripping
141.o14.4,O-14.1,90%,18.5,9.86,8.73,0.569,0.502432432,5,3683,h.3500-3999,stripping
139.o8.41.226,O-8.41,80%,12.08,8.01,8.32,0.128,0.675910596,2,3723,h.3500-3999,stripping
139.o8.41.229,O-8.41,70%,13.12,13.75,14.94,0.346,1.093368902,3,3723,h.3500-3999,stripping
139.o8.41.230,O-8.41,85%,14.59,10.44,5.69,0.193,0.552775874,2,3723,h.3500-3999,stripping
139.o8.41.231,O-8.41,85%,12.98,10.72,10.57,0.21,0.820107858,3,3723,h.3500-3999,stripping
139.o8.41.233,O-8.41,80%,10.08,6,5.12,0.057,0.551587302,2,3723,h.3500-3999,stripping
139.o8.41.234,O-8.41,80%,13.13,16.02,9.16,0.556,0.95887281,4,3723,h.3500-3999,stripping
139.o8.41.236,O-8.41,90%,12.95,8.01,8.64,0.202,0.642857143,3,3723,h.3500-3999,stripping
139.o8.41.239,O-8.41,90%,10.33,9.07,9.16,0.194,0.882381413,3,3723,h.3500-3999,stripping
139.o8.41.244,O-8.41,95%,13.71,7.36,7.72,0.146,0.54996353,2,3723,h.3500-3999,stripping
,,,,,,,,,,,
,,,,,,,,,,,
