depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
96.54,2076.9,-5.08,5.29
96.66,2078.3,-5.08,5.26
96.79,2079.7,-4.86,5.58
96.91,2081,-5.18,5.05
97.03,2082.3,-5.11,5.3
97.13,2083.4,-5.03,5.4
97.23,2084.5,-4.95,5.38
97.33,2085.6,-4.78,5.41
97.44,2086.8,-4.85,5.22
97.54,2087.9,-4.84,5.37
97.64,2089,-4.85,5.59
97.74,2090.1,-4.81,5.37
97.84,2091.2,-4.68,5.61
97.95,2092.5,-4.68,5.81
98.05,2093.6,-4.78,5.76
98.15,2094.7,-4.94,5.62
98.25,2095.8,-5.27,6.02
98.35,2096.9,-5.11,6.18
98.46,2098.1,-5.15,5.96
98.55,2099.1,-5.21,6.05
98.64,2100,-4.84,5.37
98.73,2101,-6.36,2.2
98.82,2102,-4.39,5.54
98.91,2103,-4.89,5.15
99,2104,-4.82,5.13
99.09,2105,-5.28,4.54
99.18,2106,-4.93,5.04
99.27,2107,-5.2,4.75
99.36,2108,-5,4.87
99.45,2109,-5.46,4.2
99.54,2109.9,-5.02,5.04
99.63,2110.9,-5.31,4.75
99.72,2111.9,-5.67,3.95
99.81,2112.9,-5.08,5.04
99.9,2113.9,-5.12,5.13
99.99,2114.9,-5.12,5.35
100.08,2115.8,-5.31,4.68
100.17,2116.7,-5.15,5.21
100.26,2117.6,-5.53,4.86
100.35,2118.5,-5.74,4.43
100.44,2119.4,-5.98,4.47
100.53,2120.3,-5.92,4.25
100.62,2121.2,-5.48,4.75
100.71,2122.1,-6.27,4.03
100.8,2123,-6.28,3.8
100.89,2123.9,-5.79,3.94
100.98,2124.8,-5.3,4.91
101.07,2125.8,-5.32,4.74
101.16,2126.8,-5.39,4.81
101.26,2127.9,-5.24,4.73
101.38,2129.2,-5.36,5.07
101.49,2130.4,-5.5,4.73
101.61,2131.7,-5.56,4.78
101.72,2132.9,-5.61,4.26
101.84,2134.2,-5.52,4.32
101.95,2135.5,-5.58,4.53
102.07,2136.8,-5.63,4.47
102.18,2138,-5.7,4.45
102.3,2139.3,-5.64,4.64
102.41,2140.5,-5.84,4.09
102.53,2141.8,-5.58,4.8
102.64,2143,-5.65,4.62
102.76,2144.4,-5.66,4.43
102.87,2145.6,-5.9,4.11
102.99,2146.9,-5.98,3.67
103.1,2148.1,-6.45,3.09
103.22,2149.4,-6.23,3.22
103.32,2150.5,-6.21,3.46
103.42,2151.6,-6.05,3.8
103.52,2152.7,-6.03,3.55
103.62,2153.8,-6.1,3.72
103.71,2154.8,-6.23,3.72
103.81,2155.9,-6.33,3.75
103.91,2157,-5.93,4.21
104,2158,-5.97,4.13
104.1,2159.1,-6.12,3.69
104.2,2160.2,-5.93,3.99
104.29,2161.2,-5.74,4.19
104.39,2162.3,-6.16,3.64
104.49,2163.4,-6.17,3.58
104.59,2164.5,-6.3,3.14
104.68,2165.5,-5.81,4.57
104.78,2166.6,-6.49,3.35
104.88,2167.7,-5.76,4.52
104.97,2168.7,-6.2,4.24
105.07,2169.8,-7.37,2.57
105.17,2170.9,-8.15,3.05
105.26,2171.9,-6.25,3.79
105.36,2173,-5.3,4.94
105.56,2175.2,-5.1,5
105.65,2176.2,-6.18,3.69
105.75,2177.3,-5.27,4.85
105.85,2178.4,-5.1,5.26
105.94,2179.3,-5.21,4.99
106.04,2180.4,-5.16,5.23
106.14,2181.4,-4.93,5.6
106.24,2182.4,-5.07,5.4
106.34,2183.4,-5.15,5.7
106.44,2184.4,-5.18,5.57
106.54,2185.4,-5.38,5.54
106.64,2186.4,-5.4,5.59
106.74,2187.4,-5.39,5.64
106.84,2188.4,-5.35,5.62
106.94,2189.4,-5.56,5.66
107.04,2190.4,-5.6,5.51
107.14,2191.5,-5.19,5.83
107.24,2192.6,-5.16,5.87
107.34,2193.7,-5.37,5.79
107.43,2194.7,-5.72,5.67
107.52,2195.7,-5.45,5.7
107.61,2196.7,-5.37,5.78
107.7,2197.7,-5.54,5.7
107.8,2198.8,-5.46,5.8
107.89,2199.8,-5.45,5.8
107.98,2200.8,-5.47,5.79
108.07,2201.8,-5.35,5.8
108.16,2202.8,-5.56,5.59
108.26,2203.9,-5.44,5.68
108.35,2204.9,-5.95,5.24
108.44,2205.8,-5.17,5.77
108.53,2206.8,-5.8,5.31
108.62,2207.8,-4.94,5.77
108.72,2208.9,-5.16,5.5
108.81,2209.9,-4.98,5.54
108.9,2210.9,-5.16,5.54
108.99,2211.9,-5.42,5.19
109.08,2212.9,-4.84,5.78
109.18,2214,-5.08,5.34
109.27,2215,-5.29,5.01
109.36,2216,-4.98,5.4
109.45,2217,-5.29,5.1
109.54,2217.9,-5.5,5.13
109.64,2219,-5.82,4.54
109.73,2220,-5.64,5.02
109.83,2221.1,-5.51,5.31
109.93,2222.2,-5.45,5.32
110.03,2223.3,-5.6,5.28
110.13,2224.4,-5.59,5
110.23,2225.5,-5.45,5.35
110.33,2226.6,-5.57,5.28
110.43,2227.7,-5.78,5.36
110.53,2228.8,-5.87,4.84
110.63,2229.9,-6.32,4.01
110.73,2231,-7.38,2.53
110.83,2232.1,-6.35,3.99
110.93,2233.2,-6.27,4.31
111.03,2234.3,-6.81,3.58
111.23,2236.3,-5.67,4.91
111.33,2237.3,-5.84,5.23
111.43,2238.3,-7.58,1.56
111.53,2239.3,-6.14,4.66
111.63,2240.3,-6.62,4.05
111.73,2241.3,-6.57,3.78
111.83,2242.3,-6.34,3.93
111.93,2243.3,-6.57,3.87
112.03,2244.3,-6.38,4.2
112.13,2245.4,-6.28,4.2
112.23,2246.5,-6.35,3.52
112.33,2247.6,-6.24,4.48
112.43,2248.7,-5.94,4.48
112.53,2249.8,-6.74,3.02
112.63,2250.9,-5.76,4.87
112.73,2252,-6.22,3.7
112.82,2253,-5.58,5.57
112.92,2254.1,-5.33,5.51
113.02,2255.2,-5.52,5.26
113.11,2256.2,-5.66,4.91
113.21,2257.3,-5.26,4.93
113.31,2258.4,-5.19,5.71
113.41,2259.5,-4.94,5.66
113.5,2260.5,-5.36,5.68
113.6,2261.6,-5.19,5.87
113.7,2262.7,-5.31,5.46
113.79,2263.7,-5.63,5.22
113.89,2264.8,-5.69,4.01
113.99,2265.9,-5.41,5.25
114.08,2266.9,-5.57,5.23
114.18,2268,-5.6,4.84
114.28,2269.1,-5.65,4.77
114.38,2270.2,-5.49,5.49
114.47,2271.2,-5.8,5.34
114.57,2272.3,-5.75,5.26
114.67,2273.4,-6.01,4.79
114.76,2274.4,-6.07,5.07
114.86,2275.5,-6.31,4.77
114.96,2276.6,-6.31,4.99
115.05,2278.5,-6.3,4.46
115.15,2281.5,-6.6,3.71
115.25,2284.5,-6.49,4.12
115.35,2287.5,-6.33,4.62
115.44,2290.2,-6.34,4.31
115.54,2293.2,-6.4,4.84
115.64,2296.2,-6.01,3.54
115.73,2298.9,-6.87,2.7
115.85,2302.5,-6.47,3.34
115.99,2306.7,-6.31,4.85
116.13,2310.9,-7.13,2.48
116.28,2315.4,-6.86,3.65
116.42,2319.6,-7.16,2.56
116.56,2323.8,-7.97,1.22
116.7,2328,-8.06,0.71
116.84,2332.2,-7.69,1.05
116.98,2336.4,-9.73,-2.85
117.12,2340.6,-7.05,3.51
117.25,2344.5,-6.4,4.95
117.38,2348.4,-6.82,3.88
117.5,2352,-12.95,-7.12
117.63,2355.9,-9.86,-2.72
117.75,2359.5,-6.7,3.28
117.88,2363.4,-8.88,-0.26
118.88,2393.4,-11.61,-3.41
119,2397,-11.73,-2
119.13,2400.9,-7.71,2.35
119.25,2404.5,-8.08,1.06
119.38,2408.4,-6.53,4.01
119.5,2412,-6.97,3.69
119.63,2415.9,-10.46,-2.47
119.75,2419.5,-9.7,-0.92
119.86,2422.8,-10.16,-2.36
119.98,2426.4,-9.47,-1.96
120.09,2429.7,-9.15,-0.14
120.21,2433.3,-9.11,0.53
120.32,2436.6,-11.92,-3.57
120.43,2439.9,-8.08,2.12
120.55,2443.5,-5.97,2.95
120.66,2446.8,-6.65,4.26
120.78,2450.4,-6.6,4.74
120.89,2453.7,-6.86,3.41
121,2457,-7.1,4.04
121.12,2460.6,-7.35,3.17
121.23,2463.9,-7.03,3.56
121.35,2467.5,-7.37,3.29
121.45,2470.5,-9.28,1.32
121.55,2473.5,-10.6,-3.38
121.65,2476.5,-12.38,-6.51
121.75,2479.5,-11.2,-4.68
121.85,2482.5,-11.99,-6.14
121.95,2485.5,-13.43,-6.14
122.05,2488.5,-12.83,-9.62
122.15,2491.5,-13.64,-7.87
122.25,2494.5,,
122.35,2497.5,,
122.45,2500.5,,
122.56,2503.8,,
122.66,2506.8,,
122.77,2510.1,,
122.87,2513.1,-12.78,-5.29
122.98,2516.4,-13.27,-5.54
123.08,2519.4,-12.46,-3.08
123.18,2522.4,,
123.29,2525.7,-13.27,-5.6
123.39,2528.7,,
123.5,2532,,
123.6,2535,-12.75,-3.48
123.71,2538.3,-12.76,-4.12
123.81,2541.3,-12.06,-2.95
123.92,2544.6,-11.78,-2.85
124.02,2547.6,-11.31,-2.63
124.12,2550.6,-10.27,-1.04
124.23,2553.9,-8.7,0.84
124.33,2556.9,-9.01,1.44
124.44,2560.2,-9.74,-1.3
124.54,2563.2,-10.68,-3.31
124.65,2566.5,-11.42,-8.94
124.75,2569.5,-9.38,-0.53
124.84,2572.2,-10.27,-8.66
124.92,2574.6,-7.23,3.57
125.01,2577.3,-7.45,2.42
125.09,2579.7,-9.11,-0.79
125.18,2582.4,-7.65,2.43
125.26,2584.8,-9.01,0.46
125.35,2587.5,-6.99,3.66
125.44,2590.2,-10.92,-14.79
125.53,2592.9,-10.19,-2.71
125.63,2595.9,,
125.72,2598.6,-9.66,-10.2
125.81,2601.3,-9.87,-12.12
125.9,2604,,
125.99,2606.7,-11.96,-13.61
126.09,2609.6,-10.42,-5.39
126.18,2612.2,-12.48,-5.47
126.27,2614.8,-10.61,-2.56
126.36,2617.4,-10,-1.92
126.45,2620.1,-9.19,-0.75
126.55,2623,-8.63,0.91
126.64,2625.6,-8.45,0.95
126.73,2628.2,-11.3,-7.53
126.82,2630.8,,
126.91,2633.4,-8.01,0.7
127.01,2636.3,,
127.1,2639,-7.38,0.09
127.19,2641.7,-6.29,3.8
127.28,2644.4,-6.41,4.31
127.37,2647.1,-6.49,3.7
127.47,2650.1,-6.89,3.25
127.56,2652.8,-7.12,-2.25
127.65,2655.5,-7.68,1.75
127.73,2657.9,-7.79,1.32
127.81,2660.3,-7.73,2.14
127.89,2662.7,-8.21,0.97
127.98,2665.4,-7.78,1.83
128.06,2667.8,-7.95,0.88
128.14,2670.2,-7.91,1.9
128.22,2672.6,-7.25,3.42
128.3,2675,-7,3.17
128.38,2677.4,-7.06,3.43
128.46,2679.8,-6.89,3.23
128.54,2682.2,-6.48,3.53
128.63,2684.9,-7.03,3.32
128.71,2687.3,-6.83,3.54
128.79,2689.7,-6.66,3.55
128.87,2692.1,-7.2,2.95
128.95,2694.5,-7.99,1.51
129.03,2696.9,-9.49,-1.1
129.12,2699.6,-10.06,-6.57
129.2,2702,-10.67,-3.52
129.28,2704.4,-10.94,-3.58
129.37,2707.1,-8.89,-0.29
129.45,2709.5,-7.8,2.1
129.53,2711.9,-7.23,2.93
129.62,2714.6,-6.92,3.05
129.7,2717,-6.67,3.95
129.78,2719.4,-6.51,4.31
129.87,2722.1,-6.5,3.64
129.95,2724.5,-6.24,4.77
130.03,2726.9,-6.25,4.66
130.12,2729.6,-6.56,4.58
130.2,2732,-6.27,4.84
130.28,2734.4,-6.73,2.55
130.37,2737.1,-6.07,5.36
130.45,2739.5,-6.1,5.26
130.53,2741.9,-6.12,5.47
130.62,2744.6,-6.02,5.25
130.7,2747,-6.09,5.28
130.78,2749.4,-6.17,4.59
130.87,2752.1,-6.16,5.26
130.95,2754.5,-6.08,4.01
131.03,2756.9,-6.1,5.68
131.12,2759.6,-6.04,5.2
131.2,2762,-6.38,5.11
131.28,2764.4,-6.27,5.75
131.37,2767.1,-6.14,5.7
131.45,2769.5,-6.14,5.67
131.53,2771.9,-6.31,5.19
131.62,2774.6,-6.39,5.2
131.7,2777,-6.21,5.27
131.78,2779.4,-6.33,4.75
131.87,2782.1,-6.2,5.05
131.95,2784.5,-6.47,5.11
132.05,2787.5,-6.3,4.73
132.16,2790.8,-6.38,4.89
132.26,2793.8,-6.07,4.72
132.37,2797.1,-6.47,4.29
132.47,2800.1,-6.34,4.55
132.57,2803.1,-6.19,4.84
132.68,2806.4,-6.49,4.15
132.78,2809.4,-6.65,4.27
132.88,2812.4,-6.98,4.04
132.99,2815.7,-7.23,3.63
133.09,2818.7,-8.25,1.75
133.2,2822,-7.4,3.2
133.3,2825,-7.02,4.23
133.4,2828,-6.98,3.91
133.51,2831.3,-6.82,4.05
133.61,2834.3,-6.62,4.62
133.72,2837.6,-6.43,4.6
133.82,2840.6,-6.93,3.43
133.92,2843.6,-6.62,4.67
134.03,2846.9,-6.85,3.7
134.13,2849.9,-6.62,3.74
134.23,2852.9,-6.27,4.64
134.34,2856.2,-6.54,4.24
134.44,2859.2,-6.24,4.79
134.55,2862.5,-6.34,4.18
134.65,2865.5,-6.58,4.57
134.76,2868.8,-6.48,4.46
134.86,2871.8,-6.53,3.5
134.97,2875.1,-6.55,3.87
135.07,2878.1,-6.2,4.62
135.18,2881.4,-6.18,5.05
135.29,2884.7,-6.27,4.92
135.39,2887.7,-6.4,4.92
135.5,2891,-7.92,3.39
135.61,2894.3,-6.52,5.12
135.71,2897.3,-6.12,5.36
135.82,2900.6,-6.19,5.23
135.92,2903.6,-4.43,5.63
136.03,2906.9,-5.73,5.49
136.14,2910.2,-6.34,5.56
136.24,2913.2,-6.7,5.37
136.35,2916.5,-6.6,5.12
136.85,2931.5,-6.97,4.54
136.98,2935.4,-8.44,1.56
137.12,2939.6,-6.38,4.21
137.25,2943.5,-6.13,5.02
137.38,2947.4,-5.82,5.66
137.52,2951.6,-6.1,5.14
137.65,2955.5,-6.25,5.13
137.78,2959.4,-6.46,4.58
137.92,2963.6,-7.99,2.38
138.05,2967.5,-7.23,3.44
138.14,2970.2,-7.03,1.3
138.24,2973.2,-7.9,0.63
138.33,2975.9,-6.49,3.59
138.42,2978.6,-7.01,2.34
138.51,2981.3,-6.63,2.44
138.61,2984.3,-6.8,2.27
138.7,2987,-5.87,5.25
138.8,2990,-5.66,5.4
138.91,2993.3,-6.6,4.46
139.01,2996.3,-5.56,5.15
139.11,2999.3,-6.31,4.02
139.22,3002.6,-5.69,5.22
139.32,3005.6,-6.48,3.8
139.42,3008.6,-6.74,3.33
139.52,3011.6,-6.46,3.97
139.63,3014.9,-6.71,3.94
139.73,3017.9,-6.91,3.22
139.83,3020.9,-7.37,2.78
139.94,3024.2,-6.74,3.93
140.04,3027.2,-6.5,4.53
140.14,3030.2,-6.54,4.09
140.25,3033.5,-6.12,4.27
140.35,3036.5,-6.85,3.13
140.45,3039.5,-6.35,3.41
140.56,3042.8,-6.6,2.18
140.66,3045.8,-6.44,3.49
140.76,3048.8,-7.11,2.87
140.87,3052.1,-7.65,1.91
140.97,3055.1,-7.9,2.1
141.07,3058.1,-8.15,1.77
141.17,3061.1,-6.57,4.31
141.28,3064.4,-6.5,4.52
141.38,3067.4,,
141.48,3070.4,-6.92,3.13
141.59,3073.7,-6.61,3.77
141.69,3076.7,-6.66,4.41
141.79,3079.7,-6.66,3.6
141.9,3083,-6.95,3.85
142,3086,-6.79,4.55
142.12,3089.6,-6.44,4.43
142.24,3093.2,-6.41,4.51
142.36,3096.8,-6.59,3.49
142.49,3100.7,,
142.61,3104.3,-6.83,3.22
142.73,3107.9,,
142.85,3111.5,-9.52,-0.71
142.99,3115.7,-6.46,4.1
143.14,3120.2,-6.31,4.68
143.28,3124.4,-6.77,3.76
143.42,3128.6,-6.11,4.68
143.56,3132.8,-6.19,4.64
143.71,3137.3,-5.91,5.2
143.85,3141.5,-6.04,5.18
143.98,3145.4,-5.88,4.88
144.12,3149.6,-6.31,4.35
144.25,3153.5,-6.1,4.68
144.38,3157.4,-6.23,4.08
144.52,3161.6,-5.67,5.24
144.65,3165.5,-6.04,4.94
144.73,3167.9,-6.15,4.72
144.81,3170.3,-5.88,5.33
144.88,3172.4,-5.69,5.21
144.96,3174.8,-5.77,5.05
145.04,3177.2,-6.53,4.33
145.12,3179.6,-5.71,5.56
145.2,3182,-5.62,5.51
145.28,3184.4,-5.56,5.37
145.35,3186.5,-5.96,4.27
145.43,3188.9,-5.31,5.26
145.51,3191.3,-5.34,5.28
145.59,3193.7,-6.51,4.23
145.67,3196.1,-6.36,4.04
145.75,3198.5,-6.73,4.09
145.82,3200.6,-6.36,4.28
145.9,3203,-6.7,3.44
145.98,3205.4,-6.23,4.21
146.06,3207.8,-6.02,4.69
146.14,3210.2,-5.36,5.14
146.22,3212.6,-5.66,4.72
146.29,3214.7,-5.62,4.36
146.37,3217.1,-5.31,5.25
146.45,3219.5,-5.86,4.71
146.58,3223.4,-5.39,5.39
146.72,3227.6,-6.01,4
146.85,3231.5,-5.86,4.57
146.95,3234.5,-6.06,3.82
147.05,3237.5,-5.82,4.19
147.16,3240.8,-5.93,3.91
147.27,3244.1,-6.25,3.41
147.37,3247.1,-6.09,4.08
147.48,3250.4,-5.88,4.87
147.59,3253.7,-5.31,5.3
147.7,3257,-5.57,4.66
147.81,3260.3,-4.95,5.38
147.92,3263.6,-6.18,4.13
148.02,3266.6,-5.27,4.51
148.13,3269.9,-6.08,3.55
148.24,3273.2,-5.75,4.25
148.35,3276.5,-6.8,2.02
148.42,3278.6,-6.43,3.24
148.48,3280.4,-6.16,3.82
148.55,3282.5,-5.87,3.38
148.66,3285.8,-5.73,4.16
148.77,3289.1,-5.84,3.87
148.88,3292.4,-5.76,4.11
148.99,3295.7,-6.06,3.63
149.11,3299.3,-5.94,3.65
149.22,3302.6,-6.15,3.43
149.33,3305.9,-6.13,3.64
149.44,3309.2,-5.83,4.17
149.55,3312.5,-5.68,4.54
149.64,3315.2,-5.66,4.9
149.73,3317.9,-5.57,5.04
149.83,3320.9,-5.35,4.94
149.92,3323.6,-5.79,4.89
150.01,3326.3,-5.8,4.83
150.1,3329,,
150.2,3332,-5.96,4.78
150.29,3334.7,-5.81,5.24
150.38,3337.4,-5.73,5.44
150.47,3340.1,-5.81,5.3
150.57,3343.1,-5.94,5.13
150.66,3345.8,-6.55,5
150.75,3348.5,-5.72,5.41
150.84,3351.2,-5.92,5.37
150.93,3353.9,-5.96,5.42
151.03,3356.9,-5.87,5.5
151.12,3359.6,-6,5.41
151.21,3362.3,-5.91,5.39
151.3,3365,-6.03,5.18
151.4,3368,-6.11,5.16
151.49,3370.7,-6.09,5.28
151.58,3373.4,-6.08,5.21
151.67,3376.1,-6.18,5.19
151.77,3379.1,-6.03,4.88
151.86,3381.8,-5.95,5.27
151.95,3384.5,-5.78,5.19
152.06,3387.8,-5.74,5
152.17,3391.1,-6.02,3.86
152.28,3394.4,-6.09,3.91
152.39,3397.7,-6.11,4.19
152.49,3400.7,-6.21,3.49
152.6,3404,-6.01,3.79
152.71,3407.3,-7.89,0.8
152.82,3410.6,-7.89,-2.57
152.93,3413.9,,
153.04,3417.3,-10.67,-4.72
153.15,3421,-12.63,-4.29
153.26,3424.6,-6.96,-1.46
153.36,3427.9,-7.92,-1.41
153.47,3431.5,-6.29,0.61
153.58,3435.1,-5.8,0.24
153.69,3438.8,-6.06,0.36
153.8,3442.4,-5.8,2.03
153.91,3446,-5.71,3.93
154.01,3449.3,-5.71,3.89
154.12,3453,-5.98,3.68
154.22,3456.3,-5.85,4.13
154.33,3459.9,-6.03,3.89
154.44,3463.5,-6.2,4.24
154.54,3466.8,-6.26,4.81
154.65,3470.5,-6.27,4.91
154.8,3475.4,-6.29,3.82
154.95,3480.4,-6.05,3.33
155.1,3485.3,-6.24,4.75
155.25,3490.3,-6.34,4.76
155.4,3495.2,-6.33,4.92
155.55,3500.2,-6.37,3.42
155.69,3504.8,-6.42,5.12
155.83,3509.4,-6.34,5.11
155.97,3514,-6.36,5.09
156.11,3518.7,-6.33,4.8
156.25,3523.5,-6.4,4.61
156.36,3527.2,-5.99,4.29
156.48,3531.3,-5.85,4.07
156.59,3535.1,-5.97,3.7
156.71,3539.1,-6.41,3.52
156.82,3542.9,-6.26,3.81
156.93,3546.6,-6.42,4.14
157.05,3550.7,-6.32,4.34
157.16,3554.3,-6.3,4.19
157.28,3558.2,-6.88,3.45
157.39,3561.9,-6.78,2.67
157.5,3565.5,-7.24,0.56
157.62,3569.5,-7.61,-0.47
157.73,3573.1,-6.84,0.89
157.85,3577.1,-6.76,3.27
157.96,3580.7,-6.75,3.27
158.07,3584.3,,
158.19,3588.3,-7.4,1.27
158.3,3591.9,-7.08,1.62
158.42,3595.9,-7.2,1.82
158.53,3599.5,-6.9,2.68
158.64,3603.1,-7.01,2.56
158.76,3607.1,-6.92,2.52
158.87,3610.7,-7.16,2.29
158.99,3614.7,-7.13,3.15
159.1,3618.4,-6.92,4.07
159.21,3622.1,-7,4.18
159.33,3626.2,-6.98,4.06
159.44,3630,-6.82,4.24
159.56,3634,-6.96,3.63
159.67,3637.8,-6.71,3.17
159.78,3641.5,-6.42,2.05
159.9,3645.6,-6.26,2.9
160.01,3649.3,-6.33,2.85
160.13,3653.3,-6.31,3.32
160.24,3656.9,-6.48,2.93
160.35,3660.6,-6.41,1.93
160.47,3664.5,-6.35,2.54
160.58,3668.1,-6.44,3.45
160.7,3672.1,-6.56,3.88
160.81,3675.7,-6.62,2.92
160.92,3679.4,-6.34,3.4
161.03,3683,-6.45,5.19
161.13,3686.3,-6.5,4.5
161.24,3689.9,-6.42,5.56
161.34,3693.2,-6.4,5.18
161.45,3696.9,-6.62,4.13
161.55,3700.2,-6.5,5.1
161.66,3703.8,-6.4,5.13
161.76,3707.1,-7.07,2.31
161.87,3710.7,-6.51,4.91
161.97,3714,-6.31,5.46
162.08,3717.7,-6.43,5.54
162.18,3721.1,-6.48,5.32
162.29,3724.9,-6.57,4.75
162.39,3728.3,-6.45,4.61
162.5,3732,-6.28,4.89
162.6,3735.4,-6.23,5.33
162.71,3739.1,-6.47,4.7
162.81,3742.5,-6.52,5.14
162.92,3746.3,-6.3,5.17
163.02,3749.7,-7.07,1.45
163.11,3752.6,-6.16,4.72
163.2,3755.6,-6.24,2.93
163.29,3758.6,-6.58,2.55
163.38,3761.5,-5.95,4.42
163.47,3764.5,-6.46,2.39
163.56,3767.5,-5.92,4.92
163.65,3770.5,-6.08,5.05
163.74,3773.4,-6.14,4.96
163.85,3777.1,-6.16,5.19
163.96,3780.7,-6.28,5.13
164.07,3784.3,-6.23,5.32
164.18,3787.9,-6.07,4.56
164.29,3791.6,-5.87,3.7
164.4,3795.2,-5.88,4.11
164.51,3798.8,-6.16,3.98
164.62,3802.5,-5.79,5.71
164.72,3805.8,-5.78,4.57
164.83,3809.4,-6.24,3.25
164.94,3813,-6.27,4.22
165.05,3816.7,-6.35,3.19
165.16,3820.4,-6.29,4.51
165.27,3824.2,-6.44,3.82
165.38,3827.9,-6.64,2.54
165.49,3831.7,-6.44,3.58
165.6,3835.4,-6.57,2.54
165.71,3839.1,-6.35,4.3
165.81,3842.5,-6.42,3.59
165.92,3846.3,-6.5,2.91
166.03,3850,-6.45,1.66
166.14,3853.6,-5.96,4.98
166.25,3857.3,-5.84,5.3
166.36,3860.9,-6,4.49
166.47,3864.5,-5.93,4.21
166.58,3868.1,-5.65,4.87
166.69,3871.8,-5.49,5.49
166.8,3875.4,-5.36,5.07
166.9,3878.7,-5.43,5.48
167.01,3882.3,-5.9,4.06
167.12,3886,-6,3.67
167.22,3889.3,-5.89,3.79
167.32,3892.6,-5.87,4.54
167.42,3895.9,-6.32,3.62
167.52,3899.2,-6.21,2.99
167.62,3902.5,-6.06,2.93
167.72,3905.8,-6.46,1.75
167.82,3909.1,-6.39,3.36
167.92,3912.4,-6.67,3.23
168.02,3915.7,-6.7,2.42
168.12,3919.1,-8.32,-1.28
168.25,3923.5,-6.32,1.56
168.37,3927.6,-9.51,-1.93
168.49,3931.7,-5.84,3.72
168.62,3936.1,-5.97,4.48
168.74,3940.2,-5.82,2.86
168.87,3944.6,-5.71,4.19
168.99,3948.7,-6.06,4.21
169.11,3952.6,-7.5,3.06
169.21,3955.9,-6.38,3.48
169.31,3959.2,-6.26,3.68
169.41,3962.5,-6.17,4.3
169.51,3965.8,-5.88,4.72
169.61,3969.1,-5.82,4.88
169.71,3972.4,-5.8,4.84
169.81,3975.7,-6.16,4.21
169.93,3979.7,-6.29,3.72
170.04,3983.3,-5.88,4.58
170.15,3987,-6.05,4.78
170.26,3990.6,-6.47,4.18
170.38,3994.5,-6.23,4.36
170.49,3998.2,-5.9,4.46
170.6,4001.8,-6.07,4.48
170.71,4005.4,-5.72,4.84
170.81,4008.7,-6.84,3.56
170.9,4011.7,-6.28,4.07
171,4015,-5.82,4.82
171.09,4018.1,-6.06,4.07
171.19,4021.5,-6.18,4.37
171.28,4024.5,-6.75,2.68
171.37,4027.6,-6.73,2.7
171.47,4031,-6.6,3.33
171.56,4034,-7.4,2.44
171.66,4037.4,-6.88,3.07
171.75,4040.5,-7.04,2.69
171.84,4043.6,-6.87,2.48
171.94,4047,-6.4,2.44
172.03,4050,-6.71,2.12
172.13,4053.3,-6.52,3.21
172.22,4056.3,-6.48,3.87
172.31,4059.2,-9.01,1.29
172.38,4061.5,-8.29,-1.81
172.44,4063.5,-7.13,1.49
172.51,4065.8,-6.87,3.87
172.57,4067.8,-6.61,3.06
172.63,4069.8,-5.92,4.5
172.7,4072.1,-6.37,3.62
172.76,4074.1,-6.13,4.58
172.82,4076.1,-6.69,3.31
172.89,4078.4,-7.95,1.4
172.95,4080.4,-8.17,1.4
173.01,4082.3,-8.96,0.45
173.14,4086.6,-8.71,0.64
173.26,4090.6,-7.88,2
173.38,4094.5,-7.34,2.47
